Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C4",0402,4,1uF,C52923
"C11, C12, C13, C14, C15, C16, C17, C18, C3, C5, C6",0402,11,100nF,C1525
"C7, C8",0402,2,22pF,C1555
C9,0402,1,10uF,C15525
"D1, D2",D_SOD-123,2,Schottky Diode,C8598
D3,0805,1,GREEN,C2297
F1,1206,1,500 mA,C70076
J1,TYPE-C_24P_QCHT,1,USB C Connector,C456013
"J3, J4",USB_C_Receptacle_HRO_TYPE-C-31-M-12,2,USB_C_Receptacle_USB2.0,C165948
J5,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,JST,C160405
J6,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,JST Left,C160405
J7,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,JST Right,C160405
"MX1, MX12, MX13, MX16, MX18, MX20, MX21, MX24, MX26, MX28, MX3, MX30, MX32, MX34, MX35, MX37, MX39, MX41, MX6, MX8, MX9",SW_MX_HS_1u,21,MX_SW_HS,C5156480
"R1, R12, R13, R17",0603,4,1M,C22935
"R10, R11",0402,2,1k,C11702
"R14, R15, R16, R4, R7",0402,5,10k,C25744
"R2, R3",0402,2,5.1k,C25744
R5,0603,1,5.6k,C23189
R6,0603,1,10k,C25804
"R8, R9",0603,2,27,C25190
SW1,SW_SPST_SKQG_WithStem,1,Boot,C318884
U1,SOT-23,1,XC6206,C5446
U2,SOT-23-6,1,USBLC6-2SC6,C7519
U3,RP2040-QFN-56,1,RP2040,C2040
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U6,TSSOP24_SOT355-1_NXP,1,PCA9671PW_118,C2669689
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
